naics_code,industry_description,firm_size,number_of_firms
114112,Shellfish Fishing,20-99 employees,11
114119,Other Marine Fishing,1-4 employees,97
114119,Other Marine Fishing,4-9 employees,5
1142,Hunting and Trapping,1-4 employees,296
1142,Hunting and Trapping,4-9 employees,62
1142,Hunting and Trapping,10-19 employees,21
1142,Hunting and Trapping,20-99 employees,15
11421,Hunting and Trapping,1-4 employees,296
11421,Hunting and Trapping,4-9 employees,62
11421,Hunting and Trapping,10-19 employees,21
11421,Hunting and Trapping,20-99 employees,15
114210,Hunting and Trapping,1-4 employees,296
114210,Hunting and Trapping,4-9 employees,62
114210,Hunting and Trapping,10-19 employees,21
114210,Hunting and Trapping,20-99 employees,15
115,Support Activities for Agriculture and Forestry,1-4 employees,8111
115,Support Activities for Agriculture and Forestry,4-9 employees,1630
115,Support Activities for Agriculture and Forestry,10-19 employees,775
115,Support Activities for Agriculture and Forestry,20-99 employees,677
115,Support Activities for Agriculture and Forestry,100-499 employees,175
115,Support Activities for Agriculture and Forestry,500+ employees,74
1151,Support Activities for Crop Production,1-4 employees,3059
1151,Support Activities for Crop Production,4-9 employees,781
1151,Support Activities for Crop Production,10-19 employees,435
1151,Support Activities for Crop Production,20-99 employees,444
1151,Support Activities for Crop Production,100-499 employees,131
1151,Support Activities for Crop Production,500+ employees,56
11511,Support Activities for Crop Production,1-4 employees,3059
11511,Support Activities for Crop Production,4-9 employees,781
11511,Support Activities for Crop Production,10-19 employees,435
11511,Support Activities for Crop Production,20-99 employees,444
11511,Support Activities for Crop Production,100-499 employees,131
11511,Support Activities for Crop Production,500+ employees,56
115111,Cotton Ginning,1-4 employees,58
115111,Cotton Ginning,4-9 employees,57
115111,Cotton Ginning,10-19 employees,38
115111,Cotton Ginning,20-99 employees,32
115111,Cotton Ginning,500+ employees,5
115112,"Soil Preparation, Planting, and Cultivating",1-4 employees,1555
115112,"Soil Preparation, Planting, and Cultivating",4-9 employees,366
115112,"Soil Preparation, Planting, and Cultivating",10-19 employees,164
115112,"Soil Preparation, Planting, and Cultivating",20-99 employees,98
115112,"Soil Preparation, Planting, and Cultivating",100-499 employees,19
115112,"Soil Preparation, Planting, and Cultivating",500+ employees,5
115113,"Crop Harvesting, Primarily by Machine",1-4 employees,244
115113,"Crop Harvesting, Primarily by Machine",4-9 employees,46
115113,"Crop Harvesting, Primarily by Machine",10-19 employees,29
115113,"Crop Harvesting, Primarily by Machine",20-99 employees,21
115113,"Crop Harvesting, Primarily by Machine",100-499 employees,4
115114,Postharvest Crop Activities (except Cotton Ginning),1-4 employees,370
115114,Postharvest Crop Activities (except Cotton Ginning),4-9 employees,169
115114,Postharvest Crop Activities (except Cotton Ginning),10-19 employees,96
115114,Postharvest Crop Activities (except Cotton Ginning),20-99 employees,166
115114,Postharvest Crop Activities (except Cotton Ginning),100-499 employees,67
115114,Postharvest Crop Activities (except Cotton Ginning),500+ employees,40
115115,Farm Labor Contractors and Crew Leaders,1-4 employees,330
115115,Farm Labor Contractors and Crew Leaders,4-9 employees,79
115115,Farm Labor Contractors and Crew Leaders,10-19 employees,66
115115,Farm Labor Contractors and Crew Leaders,20-99 employees,91
115115,Farm Labor Contractors and Crew Leaders,100-499 employees,28
115115,Farm Labor Contractors and Crew Leaders,500+ employees,8
115116,Farm Management Services,1-4 employees,503
115116,Farm Management Services,4-9 employees,64
115116,Farm Management Services,10-19 employees,43
115116,Farm Management Services,20-99 employees,39
115116,Farm Management Services,100-499 employees,14
115116,Farm Management Services,500+ employees,4
1152,Support Activities for Animal Production,1-4 employees,3752
1152,Support Activities for Animal Production,4-9 employees,619
1152,Support Activities for Animal Production,10-19 employees,237
1152,Support Activities for Animal Production,20-99 employees,113
1152,Support Activities for Animal Production,100-499 employees,24
1152,Support Activities for Animal Production,500+ employees,12
11521,Support Activities for Animal Production,1-4 employees,3752
11521,Support Activities for Animal Production,4-9 employees,619
11521,Support Activities for Animal Production,10-19 employees,237
11521,Support Activities for Animal Production,20-99 employees,113
11521,Support Activities for Animal Production,100-499 employees,24
11521,Support Activities for Animal Production,500+ employees,12
115210,Support Activities for Animal Production,1-4 employees,3752
115210,Support Activities for Animal Production,4-9 employees,619
115210,Support Activities for Animal Production,10-19 employees,237
115210,Support Activities for Animal Production,20-99 employees,113
115210,Support Activities for Animal Production,100-499 employees,24
115210,Support Activities for Animal Production,500+ employees,12
1153,Support Activities for Forestry,1-4 employees,1300
1153,Support Activities for Forestry,4-9 employees,230
1153,Support Activities for Forestry,10-19 employees,103
1153,Support Activities for Forestry,20-99 employees,121
1153,Support Activities for Forestry,100-499 employees,22
1153,Support Activities for Forestry,500+ employees,8
11531,Support Activities for Forestry,1-4 employees,1300
11531,Support Activities for Forestry,4-9 employees,230
11531,Support Activities for Forestry,10-19 employees,103
11531,Support Activities for Forestry,20-99 employees,121
11531,Support Activities for Forestry,100-499 employees,22
11531,Support Activities for Forestry,500+ employees,8
115310,Support Activities for Forestry,1-4 employees,1300
115310,Support Activities for Forestry,4-9 employees,230
115310,Support Activities for Forestry,10-19 employees,103
115310,Support Activities for Forestry,20-99 employees,121
115310,Support Activities for Forestry,100-499 employees,22
115310,Support Activities for Forestry,500+ employees,8
21,"Mining, Quarrying, and Oil and Gas Extraction",1-4 employees,9789
21,"Mining, Quarrying, and Oil and Gas Extraction",4-9 employees,2449
21,"Mining, Quarrying, and Oil and Gas Extraction",10-19 employees,1905
21,"Mining, Quarrying, and Oil and Gas Extraction",20-99 employees,2067
21,"Mining, Quarrying, and Oil and Gas Extraction",100-499 employees,577
21,"Mining, Quarrying, and Oil and Gas Extraction",500+ employees,318
211,Oil and Gas Extraction,1-4 employees,2986
211,Oil and Gas Extraction,4-9 employees,586
211,Oil and Gas Extraction,10-19 employees,299
211,Oil and Gas Extraction,20-99 employees,280
211,Oil and Gas Extraction,100-499 employees,112
211,Oil and Gas Extraction,500+ employees,74
2111,Oil and Gas Extraction,1-4 employees,2986
2111,Oil and Gas Extraction,4-9 employees,586
2111,Oil and Gas Extraction,10-19 employees,299
2111,Oil and Gas Extraction,20-99 employees,280
2111,Oil and Gas Extraction,100-499 employees,112
2111,Oil and Gas Extraction,500+ employees,74
21112,Crude Petroleum Extraction,1-4 employees,2459
21112,Crude Petroleum Extraction,4-9 employees,487
21112,Crude Petroleum Extraction,10-19 employees,236
21112,Crude Petroleum Extraction,20-99 employees,224
21112,Crude Petroleum Extraction,100-499 employees,79
21112,Crude Petroleum Extraction,500+ employees,53
211120,Crude Petroleum Extraction,1-4 employees,2459
211120,Crude Petroleum Extraction,4-9 employees,487
211120,Crude Petroleum Extraction,10-19 employees,236
211120,Crude Petroleum Extraction,20-99 employees,224
211120,Crude Petroleum Extraction,100-499 employees,79
211120,Crude Petroleum Extraction,500+ employees,53
21113,Natural Gas Extraction,1-4 employees,530
21113,Natural Gas Extraction,4-9 employees,101
21113,Natural Gas Extraction,10-19 employees,68
21113,Natural Gas Extraction,20-99 employees,63
21113,Natural Gas Extraction,100-499 employees,49
21113,Natural Gas Extraction,500+ employees,52
211130,Natural Gas Extraction,1-4 employees,530
211130,Natural Gas Extraction,4-9 employees,101
211130,Natural Gas Extraction,10-19 employees,68
211130,Natural Gas Extraction,20-99 employees,63
211130,Natural Gas Extraction,100-499 employees,49
211130,Natural Gas Extraction,500+ employees,52
212,Mining (except Oil and Gas),1-4 employees,1272
212,Mining (except Oil and Gas),4-9 employees,564
212,Mining (except Oil and Gas),10-19 employees,525
212,Mining (except Oil and Gas),20-99 employees,568
212,Mining (except Oil and Gas),100-499 employees,223
212,Mining (except Oil and Gas),500+ employees,153
2121,Coal Mining,1-4 employees,113
2121,Coal Mining,4-9 employees,45
2121,Coal Mining,10-19 employees,47
2121,Coal Mining,20-99 employees,48
2121,Coal Mining,100-499 employees,31
2121,Coal Mining,500+ employees,32
21211,Coal Mining,1-4 employees,113
21211,Coal Mining,4-9 employees,45
21211,Coal Mining,10-19 employees,47
21211,Coal Mining,20-99 employees,48
21211,Coal Mining,100-499 employees,31
21211,Coal Mining,500+ employees,32
212111,Bituminous Coal and Lignite Surface Mining,1-4 employees,69
212111,Bituminous Coal and Lignite Surface Mining,4-9 employees,30
212111,Bituminous Coal and Lignite Surface Mining,10-19 employees,26
212111,Bituminous Coal and Lignite Surface Mining,20-99 employees,25
212111,Bituminous Coal and Lignite Surface Mining,100-499 employees,18
212111,Bituminous Coal and Lignite Surface Mining,500+ employees,22
212112,Bituminous Coal Underground Mining,1-4 employees,27
212112,Bituminous Coal Underground Mining,4-9 employees,5
212112,Bituminous Coal Underground Mining,10-19 employees,15
212112,Bituminous Coal Underground Mining,20-99 employees,18
212112,Bituminous Coal Underground Mining,100-499 employees,13
212112,Bituminous Coal Underground Mining,500+ employees,21
212113,Anthracite Mining,1-4 employees,18
212113,Anthracite Mining,4-9 employees,10
212113,Anthracite Mining,10-19 employees,7
212113,Anthracite Mining,20-99 employees,5
212113,Anthracite Mining,100-499 employees,4
2122,Metal Ore Mining,1-4 employees,133
2122,Metal Ore Mining,4-9 employees,30
2122,Metal Ore Mining,10-19 employees,23
2122,Metal Ore Mining,20-99 employees,30
2122,Metal Ore Mining,100-499 employees,20
2122,Metal Ore Mining,500+ employees,20
21221,Iron Ore Mining,1-4 employees,5
21221,Iron Ore Mining,10-19 employees,5
21221,Iron Ore Mining,20-99 employees,3
212210,Iron Ore Mining,1-4 employees,5
212210,Iron Ore Mining,10-19 employees,5
212210,Iron Ore Mining,20-99 employees,3
21222,Gold Ore and Silver Ore Mining,1-4 employees,101
21222,Gold Ore and Silver Ore Mining,4-9 employees,19
21222,Gold Ore and Silver Ore Mining,10-19 employees,15
21222,Gold Ore and Silver Ore Mining,20-99 employees,10
21222,Gold Ore and Silver Ore Mining,100-499 employees,11
21222,Gold Ore and Silver Ore Mining,500+ employees,7
212221,Gold Ore Mining,1-4 employees,99
212221,Gold Ore Mining,4-9 employees,19
212221,Gold Ore Mining,10-19 employees,12
212221,Gold Ore Mining,20-99 employees,10
212221,Gold Ore Mining,100-499 employees,9
212221,Gold Ore Mining,500+ employees,7
212222,Silver Ore Mining,10-19 employees,3
21223,"Copper, Nickel, Lead, and Zinc Mining",1-4 employees,6
21223,"Copper, Nickel, Lead, and Zinc Mining",4-9 employees,5
21223,"Copper, Nickel, Lead, and Zinc Mining",20-99 employees,8
21223,"Copper, Nickel, Lead, and Zinc Mining",100-499 employees,5
21223,"Copper, Nickel, Lead, and Zinc Mining",500+ employees,9
212230,"Copper, Nickel, Lead, and Zinc Mining",1-4 employees,6
212230,"Copper, Nickel, Lead, and Zinc Mining",4-9 employees,5
212230,"Copper, Nickel, Lead, and Zinc Mining",20-99 employees,8
212230,"Copper, Nickel, Lead, and Zinc Mining",100-499 employees,5
212230,"Copper, Nickel, Lead, and Zinc Mining",500+ employees,9
21229,Other Metal Ore Mining,1-4 employees,21
21229,Other Metal Ore Mining,4-9 employees,5
21229,Other Metal Ore Mining,20-99 employees,9
21229,Other Metal Ore Mining,500+ employees,4
212291,Uranium-Radium-Vanadium Ore Mining,1-4 employees,4
212291,Uranium-Radium-Vanadium Ore Mining,20-99 employees,5
212299,All Other Metal Ore Mining,1-4 employees,17
212299,All Other Metal Ore Mining,4-9 employees,3
212299,All Other Metal Ore Mining,20-99 employees,4
212299,All Other Metal Ore Mining,500+ employees,4
2123,Nonmetallic Mineral Mining and Quarrying,1-4 employees,1027
2123,Nonmetallic Mineral Mining and Quarrying,4-9 employees,489
2123,Nonmetallic Mineral Mining and Quarrying,10-19 employees,455
2123,Nonmetallic Mineral Mining and Quarrying,20-99 employees,490
2123,Nonmetallic Mineral Mining and Quarrying,100-499 employees,174
2123,Nonmetallic Mineral Mining and Quarrying,500+ employees,108
21231,Stone Mining and Quarrying,1-4 employees,320
21231,Stone Mining and Quarrying,4-9 employees,186
21231,Stone Mining and Quarrying,10-19 employees,209
21231,Stone Mining and Quarrying,20-99 employees,230
21231,Stone Mining and Quarrying,100-499 employees,81
21231,Stone Mining and Quarrying,500+ employees,60
212311,Dimension Stone Mining and Quarrying,1-4 employees,116
212311,Dimension Stone Mining and Quarrying,4-9 employees,51
212311,Dimension Stone Mining and Quarrying,10-19 employees,42
212311,Dimension Stone Mining and Quarrying,20-99 employees,41
212311,Dimension Stone Mining and Quarrying,100-499 employees,8
212311,Dimension Stone Mining and Quarrying,500+ employees,6
212312,Crushed and Broken Limestone Mining and Quarrying,1-4 employees,97
212312,Crushed and Broken Limestone Mining and Quarrying,4-9 employees,76
212312,Crushed and Broken Limestone Mining and Quarrying,10-19 employees,109
212312,Crushed and Broken Limestone Mining and Quarrying,20-99 employees,138
212312,Crushed and Broken Limestone Mining and Quarrying,100-499 employees,53
212312,Crushed and Broken Limestone Mining and Quarrying,500+ employees,47
212313,Crushed and Broken Granite Mining and Quarrying,1-4 employees,12
212313,Crushed and Broken Granite Mining and Quarrying,4-9 employees,16
212313,Crushed and Broken Granite Mining and Quarrying,10-19 employees,10
212313,Crushed and Broken Granite Mining and Quarrying,20-99 employees,13
212313,Crushed and Broken Granite Mining and Quarrying,100-499 employees,15
212313,Crushed and Broken Granite Mining and Quarrying,500+ employees,12
212319,Other Crushed and Broken Stone Mining and Quarrying,1-4 employees,96
212319,Other Crushed and Broken Stone Mining and Quarrying,4-9 employees,43
212319,Other Crushed and Broken Stone Mining and Quarrying,10-19 employees,51
212319,Other Crushed and Broken Stone Mining and Quarrying,20-99 employees,45
212319,Other Crushed and Broken Stone Mining and Quarrying,100-499 employees,27
212319,Other Crushed and Broken Stone Mining and Quarrying,500+ employees,25
21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",1-4 employees,637
21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",4-9 employees,283
21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",10-19 employees,224
21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",20-99 employees,241
21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",100-499 employees,113
21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",500+ employees,75
212321,Construction Sand and Gravel Mining,1-4 employees,580
212321,Construction Sand and Gravel Mining,4-9 employees,255
212321,Construction Sand and Gravel Mining,10-19 employees,203
212321,Construction Sand and Gravel Mining,20-99 employees,208
212321,Construction Sand and Gravel Mining,100-499 employees,86
212321,Construction Sand and Gravel Mining,500+ employees,60
212322,Industrial Sand Mining,1-4 employees,34
212322,Industrial Sand Mining,4-9 employees,17
212322,Industrial Sand Mining,10-19 employees,15
212322,Industrial Sand Mining,20-99 employees,25
212322,Industrial Sand Mining,100-499 employees,19
212322,Industrial Sand Mining,500+ employees,13
212324,Kaolin and Ball Clay Mining,100-499 employees,4
212324,Kaolin and Ball Clay Mining,500+ employees,6
212325,Clay and Ceramic and Refractory Minerals Mining,1-4 employees,22
212325,Clay and Ceramic and Refractory Minerals Mining,4-9 employees,11
212325,Clay and Ceramic and Refractory Minerals Mining,10-19 employees,6
212325,Clay and Ceramic and Refractory Minerals Mining,20-99 employees,9
212325,Clay and Ceramic and Refractory Minerals Mining,100-499 employees,11
212325,Clay and Ceramic and Refractory Minerals Mining,500+ employees,8
21239,Other Nonmetallic Mineral Mining and Quarrying,1-4 employees,70
21239,Other Nonmetallic Mineral Mining and Quarrying,4-9 employees,20
21239,Other Nonmetallic Mineral Mining and Quarrying,10-19 employees,23
21239,Other Nonmetallic Mineral Mining and Quarrying,20-99 employees,35
21239,Other Nonmetallic Mineral Mining and Quarrying,100-499 employees,15
21239,Other Nonmetallic Mineral Mining and Quarrying,500+ employees,28
212391,"Potash, Soda, and Borate Mineral Mining",1-4 employees,3
212391,"Potash, Soda, and Borate Mineral Mining",4-9 employees,3
212391,"Potash, Soda, and Borate Mineral Mining",500+ employees,7
212393,Other Chemical and Fertilizer Mineral Mining,1-4 employees,8
212393,Other Chemical and Fertilizer Mineral Mining,4-9 employees,5
212393,Other Chemical and Fertilizer Mineral Mining,10-19 employees,4
212393,Other Chemical and Fertilizer Mineral Mining,20-99 employees,12
212393,Other Chemical and Fertilizer Mineral Mining,100-499 employees,4
212393,Other Chemical and Fertilizer Mineral Mining,500+ employees,6
212399,All Other Nonmetallic Mineral Mining,1-4 employees,58
212399,All Other Nonmetallic Mineral Mining,4-9 employees,11
212399,All Other Nonmetallic Mineral Mining,10-19 employees,18
212399,All Other Nonmetallic Mineral Mining,20-99 employees,22
212399,All Other Nonmetallic Mineral Mining,100-499 employees,10
212399,All Other Nonmetallic Mineral Mining,500+ employees,15
213,Support Activities for Mining,1-4 employees,5535
213,Support Activities for Mining,4-9 employees,1304
213,Support Activities for Mining,10-19 employees,1089
213,Support Activities for Mining,20-99 employees,1241
213,Support Activities for Mining,100-499 employees,267
213,Support Activities for Mining,500+ employees,143
2131,Support Activities for Mining,1-4 employees,5535
2131,Support Activities for Mining,4-9 employees,1304
2131,Support Activities for Mining,10-19 employees,1089
2131,Support Activities for Mining,20-99 employees,1241
2131,Support Activities for Mining,100-499 employees,267
2131,Support Activities for Mining,500+ employees,143
21311,Support Activities for Mining,1-4 employees,5535
21311,Support Activities for Mining,4-9 employees,1304
21311,Support Activities for Mining,10-19 employees,1089
21311,Support Activities for Mining,20-99 employees,1241
21311,Support Activities for Mining,100-499 employees,267
21311,Support Activities for Mining,500+ employees,143
213111,Drilling Oil and Gas Wells,1-4 employees,878
213111,Drilling Oil and Gas Wells,4-9 employees,172
213111,Drilling Oil and Gas Wells,10-19 employees,161
213111,Drilling Oil and Gas Wells,20-99 employees,181
213111,Drilling Oil and Gas Wells,100-499 employees,39
213111,Drilling Oil and Gas Wells,500+ employees,41
213112,Support Activities for Oil and Gas Operations,1-4 employees,4425
213112,Support Activities for Oil and Gas Operations,4-9 employees,1060
213112,Support Activities for Oil and Gas Operations,10-19 employees,855
213112,Support Activities for Oil and Gas Operations,20-99 employees,997
213112,Support Activities for Oil and Gas Operations,100-499 employees,214
213112,Support Activities for Oil and Gas Operations,500+ employees,108
213113,Support Activities for Coal Mining,1-4 employees,65
213113,Support Activities for Coal Mining,4-9 employees,26
213113,Support Activities for Coal Mining,10-19 employees,19
213113,Support Activities for Coal Mining,20-99 employees,24
213113,Support Activities for Coal Mining,100-499 employees,13
213113,Support Activities for Coal Mining,500+ employees,7
213114,Support Activities for Metal Mining,1-4 employees,83
213114,Support Activities for Metal Mining,4-9 employees,23
213114,Support Activities for Metal Mining,10-19 employees,27
213114,Support Activities for Metal Mining,20-99 employees,15
213114,Support Activities for Metal Mining,100-499 employees,6
213114,Support Activities for Metal Mining,500+ employees,7
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,1-4 employees,85
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,4-9 employees,28
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,10-19 employees,27
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,20-99 employees,39
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,100-499 employees,7
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,500+ employees,4
22,Utilities,1-4 employees,3454
22,Utilities,4-9 employees,1082
22,Utilities,10-19 employees,533
22,Utilities,20-99 employees,912
22,Utilities,100-499 employees,321
22,Utilities,500+ employees,200
221,Utilities,1-4 employees,3454
221,Utilities,4-9 employees,1082
221,Utilities,10-19 employees,533
221,Utilities,20-99 employees,912
221,Utilities,100-499 employees,321
221,Utilities,500+ employees,200
2211,"Electric Power Generation, Transmission and Distribution",1-4 employees,768
2211,"Electric Power Generation, Transmission and Distribution",4-9 employees,186
2211,"Electric Power Generation, Transmission and Distribution",10-19 employees,201
2211,"Electric Power Generation, Transmission and Distribution",20-99 employees,680
2211,"Electric Power Generation, Transmission and Distribution",100-499 employees,255
2211,"Electric Power Generation, Transmission and Distribution",500+ employees,137
22111,Electric Power Generation,1-4 employees,516
22111,Electric Power Generation,4-9 employees,116
22111,Electric Power Generation,10-19 employees,72
22111,Electric Power Generation,20-99 employees,102
22111,Electric Power Generation,100-499 employees,66
22111,Electric Power Generation,500+ employees,103
221111,Hydroelectric Power Generation,1-4 employees,92
221111,Hydroelectric Power Generation,4-9 employees,11
221111,Hydroelectric Power Generation,10-19 employees,10
221111,Hydroelectric Power Generation,20-99 employees,13
221111,Hydroelectric Power Generation,100-499 employees,9
221111,Hydroelectric Power Generation,500+ employees,31
221112,Fossil Fuel Electric Power Generation,1-4 employees,40
221112,Fossil Fuel Electric Power Generation,4-9 employees,19
221112,Fossil Fuel Electric Power Generation,10-19 employees,17
221112,Fossil Fuel Electric Power Generation,20-99 employees,46
221112,Fossil Fuel Electric Power Generation,100-499 employees,40
221112,Fossil Fuel Electric Power Generation,500+ employees,77
221113,Nuclear Electric Power Generation,1-4 employees,11
221113,Nuclear Electric Power Generation,500+ employees,24
221114,Solar Electric Power Generation,1-4 employees,262
221114,Solar Electric Power Generation,4-9 employees,46
221114,Solar Electric Power Generation,10-19 employees,24
221114,Solar Electric Power Generation,20-99 employees,16
221114,Solar Electric Power Generation,100-499 employees,13
221114,Solar Electric Power Generation,500+ employees,17
221115,Wind Electric Power Generation,1-4 employees,32
221115,Wind Electric Power Generation,4-9 employees,15
221115,Wind Electric Power Generation,10-19 employees,4
221115,Wind Electric Power Generation,20-99 employees,11
221115,Wind Electric Power Generation,100-499 employees,5
221115,Wind Electric Power Generation,500+ employees,31
221116,Geothermal Electric Power Generation,1-4 employees,7
221116,Geothermal Electric Power Generation,20-99 employees,4
221116,Geothermal Electric Power Generation,500+ employees,4
221117,Biomass Electric Power Generation,1-4 employees,18
221117,Biomass Electric Power Generation,4-9 employees,9
221117,Biomass Electric Power Generation,10-19 employees,11
221117,Biomass Electric Power Generation,20-99 employees,12
221117,Biomass Electric Power Generation,100-499 employees,7
221117,Biomass Electric Power Generation,500+ employees,15
221118,Other Electric Power Generation,1-4 employees,54
221118,Other Electric Power Generation,4-9 employees,13
221118,Other Electric Power Generation,10-19 employees,5
221118,Other Electric Power Generation,100-499 employees,4
221118,Other Electric Power Generation,500+ employees,6
22112,"Electric Power Transmission, Control, and Distribution",1-4 employees,252
22112,"Electric Power Transmission, Control, and Distribution",4-9 employees,70
22112,"Electric Power Transmission, Control, and Distribution",10-19 employees,129
22112,"Electric Power Transmission, Control, and Distribution",20-99 employees,586
22112,"Electric Power Transmission, Control, and Distribution",100-499 employees,202
22112,"Electric Power Transmission, Control, and Distribution",500+ employees,93
221121,Electric Bulk Power Transmission and Control,1-4 employees,25
221121,Electric Bulk Power Transmission and Control,4-9 employees,4
221121,Electric Bulk Power Transmission and Control,20-99 employees,12
221121,Electric Bulk Power Transmission and Control,100-499 employees,8
221121,Electric Bulk Power Transmission and Control,500+ employees,33
221122,Electric Power Distribution,1-4 employees,227
221122,Electric Power Distribution,4-9 employees,66
221122,Electric Power Distribution,10-19 employees,127
221122,Electric Power Distribution,20-99 employees,574
221122,Electric Power Distribution,100-499 employees,196
221122,Electric Power Distribution,500+ employees,79
2212,Natural Gas Distribution,1-4 employees,175
2212,Natural Gas Distribution,4-9 employees,55
2212,Natural Gas Distribution,10-19 employees,43
2212,Natural Gas Distribution,20-99 employees,57
2212,Natural Gas Distribution,100-499 employees,26
2212,Natural Gas Distribution,500+ employees,73
22121,Natural Gas Distribution,1-4 employees,175
22121,Natural Gas Distribution,4-9 employees,55
22121,Natural Gas Distribution,10-19 employees,43
22121,Natural Gas Distribution,20-99 employees,57
22121,Natural Gas Distribution,100-499 employees,26
22121,Natural Gas Distribution,500+ employees,73
221210,Natural Gas Distribution,1-4 employees,175
221210,Natural Gas Distribution,4-9 employees,55
221210,Natural Gas Distribution,10-19 employees,43
